apple steve_jobs microsoft bill_gates 5 Common Definite Intra-Domain
tired sleep thirsty drink 5 Common Definite Intra-domain
tired sleep sad cry 4.7 Common Definite Intra-domain
tired sleep hungry eat 4.6 Common Indefinite Intra-domain
tired sleep fresh work 3.6 Common Indefinite Intra-domain
tired sleep lazy couch 3 Common Indefinite Intra-domain
tired sleep bored read 2.6 Common Indefinite Intra-domain
tired sleep happy sit 1.2 Common Indefinite Intra-domain
lifejacket boat belt car 5 Common Definite Intra-domain
lifejacket boat seatbelt airplane 5 Common Indefinite Intra-domain
lifejacket boat airbag car 4.6 Common Indefinite Intra-domain
lifejacket boat parachute airplane 4.5 Common Definite Intra-domain
lifejacket boat helmet bike 3 Common Indefinite Intra-domain
lifejacket boat jacket rocket 2 Common Indefinite Cross-domain
lifejacket boat cap cruise 1.2 Common Indefinite Cross-domain
ovaries estrogen pancreas insulin 5 Uncommon Indefinite Intra-domain
ovaries estrogen testes testosterone 4.8 Uncommon Definite Intra-domain
ovaries estrogen salivary saliva 4.8 Uncommon Definite Intra-domain
ovaries estrogen sebacious sebum 3 Uncommon Definite Intra-domain
ovaries estrogen sweat estrogen 2.6 Uncommon Indefinite Cross-domain
ovaries estrogen pituitory sperm 1 Uncommon Definite Intra-domain
apollo music ares war 5 Uncommon Definite Intra-domain
apollo music poseidon water 4.4 Uncommon Definite Intra-domain
apollo music athena intelligence 4 Uncommon Definite Intra-domain
apollo music hades hell 3.8 Common Definite Intra-domain
apollo music artemis children 2 Uncommon Definite Intra-domain
apollo music hera travel 1 Uncommon Indefinite Intra-domain
bloodline mystery mahabharat mythology 5 Uncommon Definite Intra-domain
bloodline mystery hobbit fantasy 4.4 Uncommon Definite Intra-domain
bloodline mystery hobbit romance 3.6 Uncommon Indefinite Intra-domain
bloodline mystery eragon fantasy 3.3 Uncommon Indefinite Intra-domain
bloodline mystery alchemist history 2.8 Common Definite Cross-domain
bloodline mystery twilight biography 1 Common Indefinite Intra-domain
antony cleopatra othello desdemona 5 Uncommon Definite Intra-domain
antony cleopatra oberon titania 5 Uncommon Definite Intra-domain
antony cleopatra hamlet ophelia 4.8 Common Definite Intra-domain
antony cleopatra romeo juliet 4.5 Common Definite Intra-domain
antony cleopatra macbeth banquo 3.2 Common Definite Intra-domain
antony cleopatra shakespeare juliet 1.5 Common Definite Cross-domain
red green yellow violet 5 Common Definite Intra-domain
red green blue orange 4.8 Common Indefinite Intra-domain
red green black white 4.4 Common Indefinite Intra-domain
red green purple brown 3.2 Common Indefinite Intra-domain
red green pink grey 1 Common Indefinite Intra-domain
chlorophyll green lycopene red 5 Uncommon Definite Intra-domain
chlorophyll green beta-carotene orange 5 Uncommon Definite Intra-domain
chlorophyll green lutein yellow 4.57 Uncommon Definite Intra-domain
chlorophyll green anthocyanin purple 4.4 Uncommon Definite Intra-domain
chlorophyll green melanin blue 2 Uncommon Definite Intra-domain
chlorophyll green betalains black 1 Uncommon Definite Intra-domain
volta battery galileo telescope 5 Uncommon Definite Intra-domain
volta battery edison bulb 5 Common Definite Intra-domain
volta battery baird television 4.8 Uncommon Definite Intra-domain
volta battery goodyear rubber 4.6 Common Definite Cross-domain
volta battery einstein tube 3.4 Uncommon Definite Intra-domain
volta battery newton fan 2 Uncommon Definite Intra-domain
volta battery raman rain 1.2 Uncommon Indefinite Cross-domain
einstein relativity newton gravity 5 Common Definite Intra-domain
einstein relativity dalton atom 4.8 Uncommon Definite Intra-domain
einstein relativity bohr electron 4.55 Uncommon Definite Intra-domain
einstein relativity darwin evolution 4 Uncommon Definite Intra-domain
einstein relativity edison tubelight 2 Uncommon Definite Intra-domain
einstein relativity volta voltage 1 Common Definite Intra-domain
head helmet gun latch 5 Common Indefinite Cross-domain
head helmet disease vaccine 5 Common Indefinite Cross-domain
head helmet suitcase lock 4.6 Common Indefinite Intra-domain
head helmet account password 4.2 Common Definite Cross-domain
head helmet door bolt 4 Common Definite Cross-domain
