name,participant 1,participant 2,participant 3,participant 4,participant 5,total,difficulty
ovaries estrogen,0,0,0,0,0,0,advanced
apollo music,0,0,0,0,0,0,advanced
bloodline mystery,0,0,0,0,0,0,advanced
chlorophyll green,0,0,0,0,0,0,advanced
gold malleable,0,0,0,0,0,0,advanced
bronze gear,0,0,0,0,0,0,advanced
barite glass,0,0,0,0,0,0,advanced
whale pod,0,0,0,0,0,0,advanced
antony cleopatra,0,0,0,0,0,0,advanced
stallion mare,0,0,0,0,0,0,advanced
ennui boredom,0,0,0,0,0,0,advanced
kakapo flightless,0,0,0,0,0,0,advanced
bodega wine,0,0,0,0,0,0,advanced
armenia yerevan,0,0,0,0,0,0,advanced
latvia lats,0,0,0,0,0,0,advanced
fiji fijian,0,0,0,0,0,0,advanced
nicaragua spanish,0,0,0,0,0,0,advanced
morocco berber,0,0,0,0,0,0,advanced
victoria africa,0,0,0,0,0,0,advanced
puka philippines,0,0,0,0,0,0,advanced
angiosperms maple,0,0,0,0,0,0,advanced
cinderella jackson,0,0,0,0,0,0,advanced
selfish compassion,0,0,0,0,0,0,advanced
corn husk,0,0,0,0,0,0,advanced
tyro inexperienced,0,0,0,0,0,0,advanced
red green,0,0,1,0,0,1,advanced
egg chick,0,0,0,1,0,1,advanced
dog kennel,0,0,0,1,0,1,advanced
hola spanish,0,1,0,0,0,1,advanced
chicken coop,0,0,0,1,0,1,advanced
tumor cancer,0,0,0,1,0,1,advanced
mobile battery,0,0,1,0,0,1,advanced
cheerleader squad,0,0,0,1,0,1,advanced
doctor orthodontist,0,0,0,1,0,1,advanced
germany euro,0,0,0,1,0,1,advanced
mountain range,0,1,0,0,0,1,advanced
happy content,0,0,1,0,0,1,advanced
wall room,0,0,0,1,0,1,advanced
glass clear,0,1,0,0,0,1,advanced
kilometer meter,0,1,0,0,0,1,advanced
carpenter saw,0,1,0,0,0,1,advanced
cat kitten,1,0,0,0,0,1,advanced
china shanghai,0,0,1,0,0,1,advanced
crack mirror,0,0,1,0,0,1,advanced
elephant ivory,0,0,1,0,0,1,advanced
paper wood,0,0,1,0,0,1,advanced
colonel army,0,1,0,0,0,1,advanced
hen cock,0,1,0,0,0,1,advanced
square cube,0,0,0,1,0,1,advanced
india modi,0,0,0,1,0,1,advanced
adroit adroitly,0,0,0,1,0,1,advanced
zippo lighter,0,1,0,0,0,1,advanced
slay dragon,0,0,0,1,0,1,advanced
