_unit_id,_created_at,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,response_option,challange,correct_option,correct_id,id,option_1,option_2,option_3,option_4,option_5
221864222,11 08 2012 01:03,689976671,11 08 2012 01:02,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,soothe :: passion,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:05,689979259,11 08 2012 01:05,amt,1.0,9054964,USA,TX,San Antonio,71.20.90.152,betray :: loyalty,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:12,689988481,11 08 2012 01:11,amt,0.8,996867,USA,CA,Agoura Hills,75.63.29.138,cajole :: compliance,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:15,689994107,11 08 2012 01:14,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",balk :: fortitude,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:17,689997136,11 08 2012 01:17,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,cajole :: compliance,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:36,690027514,11 08 2012 01:35,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",balk :: fortitude,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:48,690045078,11 08 2012 01:45,amt,1.0,7869910,USA,,,166.182.3.97,betray :: loyalty,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 01:53,690052753,11 08 2012 01:50,amt,1.0,7869910,USA,,,166.182.3.124,balk :: fortitude,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11 08 2012 02:51,690148123,11 08 2012 02:49,amt,0.3472,13578919,USA,ID,Moscow,76.178.160.9,soothe :: passion,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864223,11 08 2012 01:10,689986550,11 08 2012 01:10,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 01:11,689987908,11 08 2012 01:10,amt,1.0,7869910,USA,,,166.182.3.169,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 01:12,689988669,11 08 2012 01:11,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 01:17,689995985,11 08 2012 01:16,amt,0.6,1006379,USA,OK,Norman,68.97.2.48,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 01:22,690003562,11 08 2012 01:20,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 01:36,690027515,11 08 2012 01:35,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 01:39,690031512,11 08 2012 01:36,amt,0.5893,180534,USA,TX,Groves,68.206.34.74,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11 08 2012 02:04,690068876,11 08 2012 02:03,amt,0.604,5160552,USA,NY,Brooklyn,"71,183,179,247",note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864233,11 08 2012 01:03,689976371,11 08 2012 01:01,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,weigh :: scale,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:13,689990583,11 08 2012 01:11,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,amplify :: volume,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:16,689995576,11 08 2012 01:14,amt,0.8,996867,USA,CA,Agoura Hills,75.63.29.138,stump :: answer,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:17,689996651,11 08 2012 01:13,amt,0.53,12861958,USA,IN,Evansville,"74,133,114,156",weigh :: scale,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:26,690010477,11 08 2012 01:25,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,amplify :: volume,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:28,690014324,11 08 2012 01:27,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",stump :: answer,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:36,690027512,11 08 2012 01:35,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",stump :: answer,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11 08 2012 01:50,690049058,11 08 2012 01:48,amt,1.0,7869910,USA,,,166.182.3.26,weigh :: scale,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864233,11/14/2012 05:17:08,701386634,11/14/2012 05:09:46,amt,0.9,9029373,USA,KY,Lexington,96.29.137.244,appraise :: value,fathom :: depth,appraise :: value,3,12,amplify :: volume,overflow :: capacity,appraise :: value,stump :: answer,weigh :: scale
221864237,11 08 2012 01:04,689977831,11 08 2012 01:03,amt,1.0,1256871,USA,FL,Palm Harbor,"68,200,118,142",deliberate :: intention,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:05,689978560,11 08 2012 01:03,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,parched :: moisture,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:06,689979971,11 08 2012 01:05,amt,1.0,9054964,USA,TX,San Antonio,71.20.90.152,restrained :: limit,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:11,689987910,11 08 2012 01:10,amt,1.0,7869910,USA,,,166.182.3.169,parched :: moisture,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:14,689992571,11 08 2012 01:12,amt,0.5367,752230,USA,SC,Simpsonville,97.81.193.171,parched :: moisture,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:31,690018189,11 08 2012 01:29,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,restrained :: limit,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:33,690021533,11 08 2012 01:32,amt,0.4167,13693705,USA,CT,Meriden,"68,110,193,177",parched :: moisture,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11 08 2012 01:47,690043655,11 08 2012 01:46,amt,0.3752,8836799,USA,MA,Southbridge,"24,183,172,164",restrained :: limit,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864237,11/14/2012 05:25:34,701398775,11/14/2012 05:22:59,amt,0.219,13862171,USA,GA,Hogansville,24.181.72.57,measured :: quantity,pallid :: color,parched :: moisture,2,16,vital :: energy,parched :: moisture,restrained :: limit,measured :: quantity,deliberate :: intention
221864238,11 08 2012 01:10,689986665,11 08 2012 01:09,amt,0.8,996867,USA,CA,Agoura Hills,75.63.29.138,crawl :: creep,drift :: move,ramble :: walk,3,17,sprint :: run,boil :: heat,ramble :: walk,evade :: elude,crawl :: creep
221864238,11 08 2012 01:16,689995910,11 08 2012 01:11,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,evade :: elude,drift :: move,ramble :: walk,3,17,sprint :: run,boil :: heat,ramble :: walk,evade :: elude,crawl :: creep
221864238,11 08 2012 01:22,690004766,11 08 2012 01:22,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,evade :: elude,drift :: move,ramble :: walk,3,17,sprint :: run,boil :: heat,ramble :: walk,evade :: elude,crawl :: creep
221864238,11 08 2012 01:26,690010471,11 08 2012 01:25,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,sprint :: run,drift :: move,ramble :: walk,3,17,sprint :: run,boil :: heat,ramble :: walk,evade :: elude,crawl :: creep
221864238,11 08 2012 01:31,690018182,11 08 2012 01:29,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,evade :: elude,drift :: move,ramble :: walk,3,17,sprint :: run,boil :: heat,ramble :: walk,evade :: elude,crawl :: creep
